"uw","ug","dp_ave","mu_gas","mu_water","mu_foam"
2.9391494569140415e-6,7.993934780213464e-6,11.71850794117647,1.8120365434580107e-5,0.0009537401695155388,1.2416342479279434
2.9391494569140415e-6,1.3238859271619025e-5,15.418484968283588,1.816342221737648e-5,0.000953688653103174,1.104029543452579
1.4695747284570208e-6,2.547946180637989e-6,6.828102944915257,1.8084645787398012e-5,0.0009537839574326325,1.9688198224777154
5.878298913828083e-6,4.825326881172682e-6,10.078467618421051,1.8112819846848778e-5,0.0009537493379502673,1.0907560890659145
1.4695747284570208e-5,4.913551998722832e-6,8.85590474770642,1.8103245179211758e-5,0.0009537610340859519,0.5231604691990461
1.1756597827656166e-5,4.91918542919485e-6,8.984357880952379,1.8102647066695412e-5,0.0009537617670549534,0.6241153444379159
8.817448370742126e-6,2.5220577546661984e-6,7.9175583671875,1.8089772168998558e-5,0.0009537776121959309,0.8088373403868857
8.817448370742126e-6,1.405100469214049e-5,12.036522502617801,1.812905618529002e-5,0.0009537296624389073,0.6097169986857596
8.817448370742126e-6,1.850169858814424e-5,13.272531218749998,1.813606194846159e-5,0.0009537212331491746,0.5627955825793857
5.878298913828083e-6,1.798312119078745e-5,14.614072230337085,1.8152403902733818e-5,0.000953701709243078,0.7094781441479702
1.4695747284570208e-6,1.5073019165139854e-5,14.957731224489796,1.816067967843009e-5,0.0009536918948783057,1.0474328145598897
1.1756597827656166e-5,1.4015948281140952e-5,11.927913916666666,1.8130445763583215e-5,0.0009537279876382551,0.5361313828128084
2.9391494569140415e-7,1.8930997932428133e-5,1.9855939999999996,1.8042842131257453e-5,0.0009538364964800664,0.11964378128390274
4.408724185371063e-6,1.3653112152038041e-5,14.374304028776976,1.814530828845071e-5,0.000953710162816473,0.9219109692375818
2.9391494569140415e-7,2.2709645404787223e-5,2.2627965314569534,1.803426094975238e-5,0.0009538474624990705,0.11395004591030984
1.0287023099199147e-5,3.914513845494818e-6,8.15928641727941,1.8089736003758738e-5,0.0009537776568871717,0.6655503089879753
1.4695747284570208e-5,5.1788711056751405e-6,6.859048577596264,1.807667194563082e-5,0.000953793868719331,0.3997874335361308
1.763489674148425e-5,5.179714871602611e-6,7.568240135638298,1.8076592348767538e-5,0.0009537939679132757,0.38427831913825994
1.4695747284570208e-6,1.3835862647985899e-5,12.87007412615741,1.8137711041066117e-5,0.0009537192541978096,0.9740906222210477
5.878298913828083e-6,1.4033007596828026e-5,12.275285222222223,1.812976857011702e-5,0.0009537288036532985,0.7141606103008951
1.0287023099199147e-5,1.8251430359476746e-5,13.050711799295774,1.814381597393861e-5,0.0009537119453275579,0.5297461677327907
1.3226172556113187e-5,1.858551030347821e-5,12.284768026229507,1.8133518535185223e-5,0.0009537242892025076,0.44734684084080534
1.3226172556113187e-5,9.558450154146173e-6,10.751979862637361,1.8117983450455667e-5,0.0009537430591672239,0.5466516453478665
1.3226172556113187e-5,1.42483644519488e-5,11.282779436241611,1.8121378620363887e-5,0.0009537389416807217,0.47571820833622047
7.347873642285104e-6,1.83046009785879e-5,13.698907493368704,1.8142148297048615e-5,0.0009537139392027895,0.6186153969837884
1.0287023099199147e-5,1.4133930201123261e-5,12.231574808000001,1.8125800460807497e-5,0.0009537335920179828,0.5802081454007179
1.0287023099199147e-5,9.511677772131829e-6,11.290831041666667,1.8120646462043598e-5,0.000953739828873835,0.660622366255329
1.3226172556113187e-5,4.981560618529304e-6,9.053587233333333,1.8096127203733394e-5,0.0009537697749040852,0.5760084690267627
4.408724185371063e-6,2.5060992301865357e-6,8.669295145390073,1.809299216657641e-5,0.0009537736372061432,1.452334832617605
2.9391494569140415e-7,1.138187912619835e-5,1.6618476892274978,1.8033226232273856e-5,0.0009538487890748457,0.1648803306470114
2.9391494569140415e-7,5.735721475817714e-6,1.307539827232797,1.802984011663462e-5,0.0009538531368093002,0.251204757087779
7.347873642285104e-7,1.3193698480961132e-5,4.828849013391467,1.8059945891913577e-5,0.0009538148260177789,0.40160931548419443
7.347873642285104e-7,2.0037283424257237e-5,7.849866580661157,1.8093284767153046e-5,0.0009537732764029261,0.437770548155845
7.347873642285104e-7,2.4018091015121004e-5,10.010125631520841,1.8115237246708273e-5,0.0009537463959597516,0.46846578693718655
7.347873642285104e-7,2.0200712536075667e-5,7.475454332162306,1.8089165749423205e-5,0.0009537783617153529,0.41363598697431236
7.347873642285104e-7,1.5803842287530285e-5,5.4772311828125,1.806842790362147e-5,0.000953804169716491,0.383641524954321
1.836968410571276e-6,1.0248267510574536e-5,14.361815191474731,1.814765049748353e-5,0.0009537073683696312,1.3766332655735578
1.4695747284570208e-6,1.3363472799618664e-5,14.73011682567948,1.8157837788007015e-5,0.000953695259663692,1.1503761303936761
4.4087241853710617e-7,2.229963894647884e-5,2.164108499255287,1.804228453127319e-5,0.0009538372071244178,0.11024092866213876
4.4087241853710617e-7,1.6927083705791114e-5,1.913112270522388,1.8036967732935675e-5,0.0009538439966120893,0.12760150676607226
4.4087241853710617e-7,2.808199448825528e-5,2.0250838132635254,1.8038997194011124e-5,0.0009538414021482412,0.08224582961167186
8.817448370742123e-7,1.8505975967142555e-5,11.711468119309034,1.813593150616804e-5,0.0009537213897677884,0.6997592408197587
8.817448370742123e-7,1.0563664093559724e-5,5.218367357819905,1.806717117473812e-5,0.000953805744867078,0.5281622943781125
8.817448370742123e-7,1.4916851024566536e-5,8.899431511338427,1.8097085130110172e-5,0.0009537685962882664,0.6525410452102928
1.4695747284570208e-7,2.2670846989390365e-5,1.4141653999741202,1.803500624853396e-5,0.0009538465075523918,0.07179437381139996
1.4695747284570208e-7,1.7138746668018448e-5,1.207488350569835,1.8031557104276824e-5,0.0009538509309677789,0.08092075626108902
1.4695747284570208e-7,2.8401326268571596e-5,1.3129737624970101,1.803404220571505e-5,0.0009538477428658486,0.05327704168983258
2.9391494569140415e-7,2.2602626992289933e-5,1.4649704527389904,1.8036323694486225e-5,0.0009538448206935007,0.0741178867757122
2.9391494569140415e-7,1.1346025011519802e-5,1.2916216623490286,1.803459859376173e-5,0.0009538470298182636,0.1285430613855973
5.878298913828083e-7,1.0304798250811365e-5,6.121704712368871,1.8079184181005195e-5,0.0009537907405798659,0.6510341320805118
5.878298913828083e-7,2.174601269837225e-5,2.956442292262592,1.80536603965932e-5,0.0009538227611698731,0.15334513924346818
5.878298913828083e-7,1.6658269269413135e-5,2.480967285859269,1.8044062462460987e-5,0.0009538349421310438,0.16664574055650302
5.878298913828083e-7,1.1180932036589244e-5,2.207778070894309,1.8041045519886894e-5,0.0009538387871589377,0.21731449581324733
5.878298913828083e-7,2.6972323569484956e-5,3.2377685133214915,1.8057246056473197e-5,0.0009538182304039175,0.13609062940012998
5.878298913828083e-7,5.618312793756289e-6,1.7625709451627285,1.8038846865900186e-5,0.0009538415942061397,0.3289947058451386
7.347873642285104e-7,6.416163312528155e-6,2.388216940965583,1.804658562532092e-5,0.0009538317323732711,0.3868780150715659
